frame,timestamp_s,pitch_deg,yaw_deg,roll_deg,is_nod
223,9.292,2.23,10.50,171.61,0
224,9.333,2.96,10.80,171.56,0
225,9.375,2.75,10.91,171.33,0
226,9.417,3.93,9.91,171.28,0
227,9.458,4.46,9.44,171.02,0
228,9.500,4.90,8.39,170.93,0
229,9.542,4.39,8.48,170.79,0
230,9.583,4.69,8.08,170.84,0
231,9.625,4.36,8.44,170.64,1
232,9.667,4.35,8.96,170.62,0
233,9.708,15.16,7.03,-7.84,0
234,9.750,3.45,10.54,170.29,0
235,9.792,3.21,11.29,169.93,0
236,9.833,3.46,11.20,170.02,1
237,9.875,4.02,10.89,169.88,0
238,9.917,3.48,11.18,169.80,0
239,9.958,3.89,10.71,169.93,0
240,10.000,3.54,11.18,169.76,0
241,10.042,3.43,11.19,169.80,1
242,10.083,3.29,10.42,169.71,0
243,10.125,3.27,10.58,169.53,0
244,10.167,14.15,6.65,-8.83,0
245,10.208,13.85,6.11,-8.97,0
246,10.250,14.03,6.22,-8.93,1
247,10.292,13.51,4.79,-9.22,0
248,10.333,13.47,7.97,-8.51,0
249,10.375,13.00,7.01,-8.79,0
250,10.417,13.47,7.64,-8.49,0
251,10.458,13.67,7.63,-8.36,1
252,10.500,14.27,7.19,-8.28,0
253,10.542,14.34,6.63,-8.41,0
254,10.583,13.46,6.67,-8.41,0
255,10.625,13.44,5.58,-8.81,0
256,10.667,11.49,5.36,-8.76,1
257,10.708,10.61,5.86,-8.76,0
258,10.750,9.93,5.54,-8.87,0
259,10.792,8.74,5.13,-8.98,0
260,10.833,5.64,3.50,-9.30,0
261,10.875,4.36,2.85,-9.50,1
262,10.917,3.05,0.96,-9.73,0
263,10.958,1.62,2.26,-9.58,0
264,11.000,0.14,3.59,-9.31,0
265,11.042,-0.66,3.64,-8.98,0
266,11.083,-0.60,5.26,-8.94,0
267,11.125,-1.27,4.16,-9.00,0
268,11.167,-0.80,3.37,-9.04,0
269,11.208,1.32,5.93,-8.73,0
270,11.250,2.45,4.87,-9.29,0
271,11.292,3.58,3.29,-9.08,0
272,11.333,4.03,3.51,-8.82,0
273,11.375,5.14,5.25,-8.37,0
274,11.417,6.35,6.63,-8.11,1
275,11.458,5.99,5.24,-8.12,0
276,11.500,6.78,4.89,-8.25,0
277,11.542,7.73,5.23,-8.25,0
278,11.583,8.29,4.95,-8.53,0
279,11.625,8.50,4.67,-8.32,1
280,11.667,9.24,4.41,-8.36,0
281,11.708,9.65,4.12,-8.38,0
282,11.750,9.61,5.28,-8.15,0
283,11.792,9.30,4.99,-8.32,0
284,11.833,9.53,4.94,-8.30,1
285,11.875,10.33,7.37,-7.81,0
286,11.917,9.39,5.77,-7.83,0
287,11.958,10.56,5.49,-8.08,0
288,12.000,10.23,5.81,-7.86,0
289,12.042,9.68,6.29,-7.76,0
290,12.083,9.59,4.40,-7.23,0
291,12.125,8.95,4.10,-7.13,0
292,12.167,9.51,4.90,-6.91,0
293,12.208,9.82,7.15,-7.18,0
294,12.250,11.20,7.92,-7.27,0
295,12.292,11.23,6.16,-7.67,0
296,12.333,12.05,8.50,-7.42,0
297,12.375,11.65,9.12,-7.61,0
298,12.417,11.83,10.38,-7.70,0
299,12.458,10.17,5.05,-8.64,0
300,12.500,11.88,5.13,-8.95,0
301,12.542,11.68,5.30,-9.61,0
302,12.583,11.65,9.06,-9.56,0
303,12.625,11.24,8.84,-10.19,0
304,12.667,11.23,9.79,-10.28,0
305,12.708,11.58,9.43,-10.30,0
306,12.750,11.21,12.53,-9.74,0
307,12.792,11.78,11.73,-9.89,0
308,12.833,12.36,11.76,-9.80,0
309,12.875,12.55,11.83,-10.00,0
310,12.917,12.72,12.48,-10.04,0
